Load,Temp (C),DSin,DCos,YSin,YCos
1390,7.6,-0.7071067811796093,-0.7071067811934857,-0.845994069663741,0.5331923049836533
1409,7.5,-0.8660254037841697,-0.5000000000004658,-0.8456116695218934,0.53379856160203
1569,7.2,-0.9659258262875631,-0.2588190451081384,-0.8452288349242564,0.5344045439670065
1678,7.4,-1.0,-1.1093702062868837e-11,-0.8448455660675215,0.5350102517672434
1664,7.6,-0.9659258262895393,0.2588190451007631,-0.8444618631485884,0.5356156846915657
1618,5.8,-0.8660254037879874,0.49999999999385336,-0.8440777263646252,0.5362208424288681
1568,4.0,-0.7071067811850085,0.7071067811880866,-0.8436931559129772,0.5368257246682584
1461,2.6,-0.5000000000026859,0.866025403782888,-0.8433081519912279,0.5374303310989621
1711,2.6,-0.25881904511061443,0.9659258262868996,-0.8429227147971835,0.5380346614103463
1621,2.7,8.948690139034959e-13,1.0,-0.8425368445288728,0.5386387152919201
1518,2.8,0.2588190450982871,0.9659258262902027,-0.8421505413845468,0.5392424924333343
1451,2.8,0.49999999999163347,0.8660254037892691,-0.8417638055626641,0.5398459925244065
1431,2.9,0.707106781186274,0.707106781186821,-0.8413766372619511,0.5404492152550239
1453,2.8,0.8660254037816063,0.5000000000049057,-0.8409890366813108,0.5410521603152888
1462,2.7,0.9659258262862361,0.25881904511309045,-0.8406010040198832,0.5416548273954218
1566,2.4,1.0,1.6684751376910228e-12,-0.8402125394770309,0.5422572161857865
1715,1.6,0.9659258262908661,-0.2588190450958111,-0.8398236432523377,0.5428593263768894
1474,-0.5,0.8660254037832747,-0.5000000000020158,-0.8394343155456098,0.5434611576593802
1523,-0.5,0.7071067811886336,-0.7071067811844615,-0.8390445565568591,0.5440627097240756
1526,-0.6,0.5000000000071256,-0.8660254037803247,-0.8386543664863658,0.5446639822618644
1530,-1.1,0.2588190451015104,-0.965925826289339,-0.838263745534585,0.5452649749638504
1530,-1.4,4.231819289285541e-12,-1.0,-0.837872693902209,0.5458656875212575
1518,-1.7,-0.2588190450933351,-0.9659258262915296,-0.8374812117901509,0.5464661196254534
1517,-1.9,-0.49999999999979594,-0.8660254037845565,-0.8370892993995454,0.5470662709679499
1572,-2.1,-0.7071067811826489,-0.7071067811904461,-0.8366969569317477,0.547666141240403
1548,-1.9,-0.866025403779043,-0.5000000000093456,-0.836304184588319,0.5482657301346372
1641,-1.8,-0.9659258262886756,-0.25881904510398634,-0.8359109825710879,0.5488650373425497
1745,-1.8,-1.0,-6.7951634408800606e-12,-0.8355173510820567,0.5494640625562541
1741,-1.4,-0.9659258262884267,0.2588190451049152,-0.8351232903234644,0.5500628054679852
1698,-1.2,-0.8660254037858381,0.499999999997576,-0.8347288004977703,0.5506612657701226
1608,-1.2,-0.7071067811922587,0.7071067811808364,-0.8343338818076541,0.5512594431551912
1536,-1.2,-0.49999999999896316,0.8660254037850372,-0.833938534456016,0.5518573373158612
1404,-1.0,-0.25881904510646236,0.9659258262880122,-0.8335427586459606,0.5524549479449721
1300,-0.6,-9.358507592474579e-12,1.0,-0.8331465545808598,0.5530522747354378
1132,-0.4,0.2588190451024392,0.9659258262890902,-0.8327499224642586,0.5536493173803896
1100,-0.1,0.4999999999953561,0.8660254037871198,-0.8323528624999371,0.5542460755730804
1077,0.2,0.7071067811790238,0.7071067811940712,-0.8319553748918959,0.5548425490069098
1072,0.2,0.8660254037837556,0.500000000001183,-0.8315574598443547,0.5554387373754233
1077,0.3,0.9659258262873487,0.2588190451089384,-0.8311591175617532,0.5560346403723132
1182,0.3,1.0,-2.630063484297754e-12,-0.8307603482487347,0.5566302576914419
1380,0.4,0.9659258262897535,-0.2588190450999632,-0.8303611521102093,0.5572255890267477
1515,0.6,0.8660254037884015,-0.49999999999313616,-0.8299615293512589,0.5578206340723866
1513,0.9,0.7071067811855941,-0.7071067811875009,-0.8295614801772005,0.5584153925226383
1501,1.4,0.5000000000034031,-0.866025403782474,-0.8291610047935702,0.5590098640719294
1491,2.5,0.25881904511141435,-0.9659258262866852,-0.8287601034061229,0.5596040484148345
1483,2.8,-6.671933270323505e-14,-1.0,-0.8283587762208326,0.560197945246075
1466,3.3,-0.2588190450974872,-0.965925826290417,-0.8279570234438761,0.5607915542605441
1472,4.5,-0.49999999999091627,-0.8660254037896832,-0.8275548452816964,0.5613848751532121
1448,5.2,-0.7071067811856884,-0.7071067811874067,-0.8271522419409075,0.5619779076192678
1471,6.1,-0.8660254037811922,-0.500000000005623,-0.8267492136283578,0.562570651354025
1551,6.0,-0.9659258262897881,-0.2588190450998343,-0.8263457605511139,0.5631631060529455
1662,8.8,-1.0,-2.4966248188912836e-12,-0.8259418829164606,0.5637552714116397
1650,8.2,-0.9659258262910805,0.2588190450950112,-0.8255375809319011,0.5643471471258668
1617,7.5,-0.8660254037836889,0.5000000000012986,-0.8251328548051403,0.564938732891558
1564,6.0,-0.7071067811892192,0.7071067811838758,-0.8247277047441494,0.5655300284047234
1478,5.5,-0.5000000000078428,0.8660254037799106,-0.8243221309570687,0.5661210333615924
1344,4.1,-0.2588190451023103,0.9659258262891247,-0.8239161336522731,0.5667117474585202
1229,2.8,-5.059968970485803e-12,1.0,-0.8235097130383545,0.5673021703920116
