Load,Temp (C),DSin,DCos,YSin,YCos
1486,-7.7,-1.1162093817348706e-12,1.0,-0.46699769175201095,0.8842585345351741
1378,-7.5,0.25881904509634457,0.9659258262907232,-0.466363750904563,0.8845930430668255
1335,-7.9,0.5000000000024941,0.8660254037829986,-0.4657295704501669,0.8849270971149562
1324,-7.9,0.7071067811848519,0.7071067811882431,-0.4650951507146498,0.8852606965079367
1293,-8.7,0.8660254037806008,0.5000000000066473,-0.464460492023962,0.8855938410743714
1297,-9.1,0.965925826289482,0.2588190451009769,-0.4638255947041765,0.8859265306430985
1359,-9.9,1.0,3.679553533329389e-12,-0.4631904590814638,0.8862587650432028
1537,-9.5,0.9659258262913867,-0.25881904509386855,-0.4625550854821922,0.8865905441039634
1724,-8.9,0.8660254037842804,-0.5000000000002742,-0.4619194742327769,0.8869218676549333
1761,-8.2,0.7071067811900557,-0.7071067811830394,-0.4612836256597803,0.8872527355258859
1696,-7.6,0.5000000000088674,-0.8660254037793191,-0.4606475400898868,0.8875831475468291
1664,-6.7,0.25881904510345294,-0.9659258262888185,-0.4600112178499024,0.8879131035480047
1641,-6.2,6.242897684923909e-12,-1.0,-0.4593746592667548,0.8882426033598889
1613,-5.8,-0.2588190451054486,-0.9659258262882837,-0.458737864667468,0.8885716468132053
1595,-6.0,-0.4999999999980543,-0.866025403785562,-0.4581008343792628,0.8889002337388731
1557,-6.4,-0.7071067811812268,-0.7071067811918682,-0.45746356872940547,0.8892283639680847
1583,-7.2,-0.8660254037853133,-0.4999999999984849,-0.4568260680453084,0.8895560373322544
1706,-8.2,-0.965925826288155,-0.2588190451059289,-0.45618833265450476,0.8898832536630313
1938,-9.1,-1.0,-8.806241836518426e-12,-0.4555503628846483,0.890210012792299
1957,-10.1,-0.9659258262889472,0.25881904510297266,-0.4549121590635131,0.8905363145521764
1929,-10.2,-0.8660254037868437,0.4999999999958344,-0.45427372151896844,0.8908621587750299
1853,-10.8,-0.7071067811936808,0.7071067811794143,-0.4536350505790793,0.8911875452934226
1745,-11.8,-0.5000000000007048,0.8660254037840317,-0.4529961465719548,0.8915124739401912
1579,-12.7,-0.2588190451084049,0.9659258262874917,-0.4523570098258492,0.8918369445483948
1418,-12.3,-1.1369585988112946e-11,1.0,-0.45171764066913606,0.8921609569513279
1317,-12.9,0.25881904510049664,0.9659258262896107,-0.45107803943030866,0.8924845109825206
1282,-13.3,0.49999999999361444,0.8660254037881253,-0.4504382064379793,0.8928076064757381
1280,-12.8,0.7071067811878915,0.7071067811852035,-0.4497981420208541,0.8931302432649941
1286,-13.9,0.8660254037827501,0.5000000000029248,-0.44915784650783414,0.8934524211844999
1318,-14.7,0.9659258262868282,0.25881904511088094,-0.4485173202278631,0.8937741400687405
1399,-15.3,1.0,-6.189850886593872e-13,-0.4478765635100287,0.8940953997524242
1588,-14.6,0.9659258262902741,-0.2588190450980206,-0.44723557668353686,0.8944162000704953
1769,-14.5,0.8660254037894071,-0.49999999999139455,-0.4465943600777119,0.8947365408581338
1805,-12.2,0.7071067811870161,-0.707106781186079,-0.44595291402199616,0.8950564219507562
1770,-11.7,0.5000000000051447,-0.8660254037814684,-0.4453112388459244,0.8953758431840274
1722,-11.1,0.2588190451133569,-0.9659258262861647,-0.44466933487922533,0.895694804393811
1697,-10.0,1.9443590629351316e-12,-1.0,-0.4440272024516691,0.8960133054162447
1635,-8.4,-0.25881904509554465,-0.9659258262909375,-0.44338484189316846,0.8963313460876898
1622,-7.7,-0.5000000000017769,-0.8660254037834128,-0.4427422535337535,0.8966489262447447
1614,-7.7,-0.7071067811842664,-0.7071067811888286,-0.44209943770357135,0.8969660457242437
1673,-8.3,-0.8660254037801867,-0.5000000000073646,-0.4414563947328859,0.8972827043632583
1805,-9.0,-0.9659258262892676,-0.25881904510177683,-0.4408131249520523,0.8975989019991091
1993,-9.8,-1.0,-4.50770321452965e-12,-0.44016962869161885,0.897914638469316
1968,-10.3,-0.965925826291601,0.25881904509306863,-0.4395259062821735,0.8982299136116733
1916,-10.7,-0.8660254037846944,0.499999999999557,-0.438881958054446,0.8985447272642
1837,-11.2,-0.7071067811906412,0.7071067811824538,-0.4382377843392822,0.898859079265152
1734,-11.7,-0.5000000000095846,0.866025403778905,-0.43759338546764354,0.8991729694530226
1616,-11.9,-0.25881904510425285,0.9659258262886041,-0.4369487617706075,0.8994863976665423
1478,-12.0,-7.0710473661241694e-12,1.0,-0.4363039135793412,0.899799363744691
1384,-12.2,0.2588190451046487,0.9659258262884981,-0.4356588412252039,0.9001118675266495
1331,-12.3,0.4999999999973371,0.866025403785976,-0.4350135450395934,0.9004239088518727
1317,-12.3,0.7071067811806413,0.7071067811924537,-0.43436802535404795,0.9007354875600412
1310,-12.5,0.8660254037848993,0.4999999999992021,-0.43372228250022077,0.9010466034910729
1312,-12.6,0.9659258262879408,0.2588190451067289,-0.4330763168098796,0.9013572564851235
1343,-12.4,1.0,9.634391517718689e-12,-0.4324301286149068,0.9016674463825869
1424,-12.5,0.9659258262891616,-0.2588190451021727,-0.4317837182472733,0.9019771730241067
1528,-12.3,0.8660254037872578,-0.4999999999951172,-0.431137086039141,0.9022864362505281
