Load,Temp (C),DSin,DCos,YSin,YCos
1321,14.1,0.866025403786015,-0.49999999999726963,0.47137164835590534,-0.8819346739562045
1323,16.0,0.7071067811925089,-0.7071067811805862,0.47073937208700833,-0.8822723182595774
1367,16.0,0.4999999999992696,-0.8660254037848604,0.4701068539630697,-0.8826095092717645
1364,16.3,0.2588190451068041,-0.9659258262879206,0.4694740943090628,-0.8829462468195248
1389,16.7,9.712290814776555e-12,-1.0,0.46884109345008484,-0.8832825307298502
1353,16.2,-0.25881904510209747,-0.9659258262891817,0.4682078517113572,-0.8836183608299659
1347,17.4,-0.49999999999504974,-0.8660254037872966,0.4675743694182248,-0.88395373694733
1345,17.0,-0.7071067811787737,-0.7071067811943215,0.4669406468961311,-0.8842886589096474
1371,16.6,-0.8660254037835787,-0.5000000000014895,0.4663066844707184,-0.8846231265448162
1389,15.8,-0.9659258262872571,-0.2588190451092801,0.4656724824676769,-0.884957139681008
1363,14.8,-1.0,2.2762802619957783e-12,0.465038041212845,-0.8852906981466147
1341,13.5,-0.9659258262898451,0.25881904509962145,0.4644033610321839,-0.8856238017702613
1349,12.1,-0.8660254037885784,0.4999999999928298,0.46376844225177766,-0.8859564503808072
1395,10.8,-0.7071067811858442,0.7071067811872508,0.46313328519783303,-0.8862886438073448
1259,10.1,-0.5000000000037094,0.866025403782297,0.46249789019665377,-0.8866203818792144
1098,9.8,-0.2588190451117561,0.9659258262865937,0.4618622575747416,-0.88695166442595
1007,8.8,-2.8706388959874055e-13,1.0,0.46122638765864477,-0.8872824912773595
936,8.6,0.25881904509714543,0.9659258262905086,0.4605902807750585,-0.8876128622634717
917,7.9,0.49999999999060984,0.86602540378986,0.4599539372507999,-0.8879427772145496
910,7.2,0.7071067811854382,0.7071067811876568,0.4593173574128076,-0.8882722359610904
915,6.8,0.8660254037810153,0.5000000000059294,0.4586805415881417,-0.888601238333826
987,7.3,0.9659258262896966,0.258819045100176,0.4580434901039582,-0.8889297841637354
